"STATION","NAME","DATE","AWND","PRCP","SNOW","TAVG","TMAX","TMIN","TSUN","WDF2","WSF2","WT01","WT02","WT03","WT04","WT05","WT06","WT08"
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-11-19","9.17","0.00","0.0",,"51","36",,"  310","19.9",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-11-20","6.93","0.00","0.0",,"44","32",,"   20","15.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-11-21","4.92","0.00","0.0",,"52","35",,"   60","10.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-11-22","6.26","0.07","0.0",,"57","51",,"  260","12.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-11-23","9.62","0.00","0.0",,"54","31",,"  290","21.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-11-24","12.08","0.00","0.0",,"30","23",,"  310","25.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-11-25","5.82","0.00","0.0",,"35","23",,"  250","15.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-11-26","4.25","0.51","0.0",,"47","33",,"   60","12.1","    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-11-27","9.62","1.98","0.0",,"62","35",,"  280","19.9","    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-11-28","7.16","0.00","0.0",,"35","30",,"  280","21.9",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-11-29","3.80","0.00","0.0",,"39","29",,"  360","13.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-11-30","5.14","0.00","0.0",,"39","25",,"   60","12.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-12-01","1.79","0.00","0.0",,"49","36",,"  270","6.9",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-12-02","3.13","0.00","0.0",,"49","41",,"   70","8.1",,,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-12-03","3.13","0.00","0.0",,"53","38",,"  260","8.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-12-04","2.91","0.00","0.0",,"52","41",,"   60","8.1",,,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-12-05","2.46","0.01","0.0",,"60","48",,"  270","8.9",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-12-06","5.82","0.73","0.0",,"62","37",,"   10","15.0","    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-12-07","6.04","0.14","0.0",,"41","32",,"  310","13.0","    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-12-08","6.26","0.08","0.7",,"33","29",,"   70","15.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-12-09","6.71","0.30","0.0",,"39","31",,"   70","21.9",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-12-10","6.49","0.23","1.4",,"37","30",,"  270","14.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-12-11","7.61","0.00","0.0",,"33","27",,"  250","15.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-12-12","7.38","0.00","0.0",,"30","23",,"  260","16.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-12-13","5.59","0.00","0.0",,"35","23",,"  250","18.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-12-14","10.07","0.73","5.0",,"34","22",,"   70","21.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-12-15","8.72","0.72","0.0",,"40","30",,"   60","21.0","    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-12-16","7.83","0.00","0.0",,"33","25",,"  260","17.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-12-17","6.04","0.19","1.5",,"32","24",,"   20","13.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-12-18","6.71","0.00","0.0",,"37","23",,"  290","14.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-12-19","4.92","0.00","0.0",,"47","30",,"  240","15.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-12-20","5.14","0.00","0.0",,"53","41",,"  240","16.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-12-21","7.83","0.01","0.0",,"65","51",,"  250","16.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-12-22","5.59","0.00","0.0",,"71","61",,"  250","16.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-12-23","4.70","0.51","0.0",,"64","42",,"  360","17.0","    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-12-24","8.28","0.00","0.0",,"42","26",,"  310","18.1",,,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-12-25","4.70","0.00","0.0",,"31","19",,"  300","21.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-12-26","5.37","0.00","0.0",,"36","30",,"  290","14.1",,,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-12-27","5.82","0.00","0.0",,"40","31",,"  290","12.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-12-28","7.16","0.00","0.0",,"55","36",,"  250","16.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-12-29","6.04","1.20","0.0",,"48","41",,"   60","16.1","    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-12-30","6.26","0.00","0.0",,"45","23",,"  300","15.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-12-31","5.82","0.00","0.0",,"32","21",,"  290","17.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-01-01","5.59","0.00","0.0",,"33","24",,"  280","14.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-01-02","12.30","0.33","3.1",,"33","18",,"   50","21.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-01-03","10.51","0.29","3.3",,"18","9",,"  360","21.0","    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-01-04","4.92","0.00","0.0",,"29","8",,"  260","8.9",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-01-05","3.80","0.14","0.0",,"40","27",,"   70","6.9",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-01-06","8.50","0.36","0.0",,"55","19",,"  290","18.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-01-07","13.20","0.00","0.0",,"19","4",,"  280","23.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-01-08","7.16","0.00","0.0",,"22","9",,"  290","15.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-01-09","2.91","0.00","0.0",,"32","22",,"  350","12.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-01-10","3.36","0.11","0.0",,"37","30",,"   50","8.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-01-11","7.16","0.50","0.0",,"58","37",,"  180","17.0","    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-01-12","8.28","0.05","0.0",,"54","38",,"  290","19.9","    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-01-13","5.14","0.00","0.0",,"51","37",,"  180","14.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-01-14","4.92","0.38","0.0",,"52","44",,"  230","13.0","    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-01-15","2.91","0.00","0.0",,"47","39",,"  160","12.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-01-16","4.03","0.00","0.0",,"42","36",,"   10","10.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-01-17","3.58","0.00","0.0",,"44","33",,"  170","12.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-01-18","7.16","0.07","0.0",,"41","29",,"  290","15.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-01-19","7.38","0.00","0.0",,"38","24",,"  260","21.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-01-20","7.38","0.00","0.0",,"46","31",,"  270","17.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-01-21","10.51","0.46","11.0",,"31","11",,"   30","19.9",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-01-22","8.72","0.02","0.5",,"17","5",,"  360","21.9",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-01-23","7.16","0.00","0.0",,"20","7",,"  290","16.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-01-24","8.05","0.00","0.0",,"20","10",,"  250","17.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-01-25","7.61","0.04","1.0",,"28","19",,"  230","17.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-01-26",,"0.00","0.0",,"34","17",,"  280","16.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-01-27","7.83","0.00","0.0",,"44","21",,"  300","17.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-01-28","6.04","0.00","0.0",,"21","12",,"  310","15.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-01-29","6.49","0.04","0.8",,"23","14",,"  260","15.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-01-30","3.80","0.00","0.0",,"30","16",,"  270","8.9",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-01-31","4.92","0.00","0.0",,"39","25",,"  260","14.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-02-01","3.58","0.00","0.0",,"45","36",,"  180","13.0",,,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-02-02","3.13","0.00","0.0",,"56","39",,"  360","10.1",,,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-02-03","6.71","1.17","8.0",,"43","27",,"   20","10.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-02-04","2.24","0.00","0.0",,"35","22",,"   60","6.9",,,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-02-05","7.16","1.43","4.0",,"34","29",,"   60","15.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-02-06","4.03","0.00","0.0",,"32","21",,"  310","13.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-02-07","6.71","0.00","0.0",,"32","24",,"  280","15.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-02-08","4.92","0.00","0.0",,"29","21",,"  280","12.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-02-09","3.58","0.10","1.2",,"31","21",,"  270","12.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-02-10","7.16","0.00","0.0",,"29","21",,"  310","15.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-02-11","5.37","0.00","0.0",,"26","16",,"  280","14.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-02-12","5.82","0.00","0.0",,"25","13",,"   60","14.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-02-13","12.53","1.78","9.5",,"36","24",,"   60","25.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-02-14","10.51","0.30","3.0",,"40","31",,"  290","21.9",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-02-15","9.40","0.13","1.6",,"37","27",,"   60","18.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-02-16","8.95","0.00","0.0",,"30","21",,"  310","18.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-02-17","5.37","0.00","0.0",,"32","18",,"  310","16.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-02-18","5.14","0.16","1.5",,"39","26",,"  280","16.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-02-19","5.14","0.26","0.0",,"45","34",,"  150","16.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-02-20","4.92","0.03","0.0",,"51","37",,"  160","14.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-02-21","7.38","0.09","0.0",,"49","36",,"  290","21.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-02-22","7.16","0.00","0.0",,"54","40",,"  260","17.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-02-23","5.37","0.00","0.0",,"54","43",,"  290","18.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-02-24","9.40","0.00","0.0",,"44","27",,"  320","17.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-02-25","6.93","0.00","0.0",,"33","24",,"  280","18.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-02-26","5.37","0.03","0.2",,"31","20",,"  320","17.0",,,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-02-27","8.50","0.00","0.0",,"34","14",,"  290","21.0",,,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-02-28","4.70","0.00","0.0",,"24","9",,"  280","15.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-03-01","4.47","0.00","0.0",,"37","20",,"  260","12.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-03-02","3.80","0.00","0.0",,"40","32",,"  260","13.0",,,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-03-03","6.71","0.04","0.1",,"32","17",,"  360","16.1",,,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-03-04","4.70","0.00","0.0",,"29","13",,"   40","13.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-03-05","5.14","0.00","0.0",,"39","26",,"   30","17.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-03-06","8.50","0.00","0.0",,"31","16",,"   50","17.0",,,,,,,
